Invoice_No,Stock_Code,Description,Category,Quantity,Invoice_Date,Unit_Price,Customer_ID,Country,Total_Spend
INV-100000,SKU-101,Wireless Noise-Canceling Headphones,Audio,2,2023-01-21 00:00:00,149.99,CUST-1390,United States,299.98
INV-100001,SKU-106,USB-C Multiport Adapter,Accessories,1,2023-03-05 00:00:00,34.5,CUST-1292,United States,34.5
INV-100002,SKU-106,USB-C Multiport Adapter,Accessories,1,2023-06-14 00:00:00,34.5,CUST-1182,United States,34.5
INV-100003,SKU-106,USB-C Multiport Adapter,Accessories,1,2023-01-27 00:00:00,34.5,CUST-1445,United States,34.5
INV-100004,SKU-108,Portable Espresso Maker,Kitchen,1,2023-11-07 00:00:00,79.99,CUST-1390,France,79.99
INV-100005,SKU-106,USB-C Multiport Adapter,Accessories,3,2023-10-12 00:00:00,34.5,CUST-1091,Australia,103.5
INV-100006,SKU-105,Smart Fitness Tracker Band,Wearables,3,2023-10-08 00:00:00,59.99,CUST-1475,United Kingdom,179.97
INV-100007,SKU-102,Ergonomic Office Chair,Furniture,1,2023-06-13 00:00:00,229.0,CUST-1446,United States,229.0
INV-100008,SKU-104,Stainless Steel Water Bottle,Lifestyle,1,2023-08-12 00:00:00,24.99,CUST-1487,United Kingdom,24.99
INV-100009,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,2,2023-05-26 00:00:00,49.99,CUST-1402,United States,99.98
INV-100010,SKU-105,Smart Fitness Tracker Band,Wearables,1,2023-01-30 00:00:00,59.99,CUST-1351,United States,59.99
INV-100011,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2023-02-14 00:00:00,49.99,CUST-1242,France,49.99
INV-100012,SKU-104,Stainless Steel Water Bottle,Lifestyle,8,2024-04-15 00:00:00,24.99,CUST-1478,United States,199.92
INV-100013,SKU-102,Ergonomic Office Chair,Furniture,2,2023-02-03 00:00:00,229.0,CUST-1467,United States,458.0
INV-100014,SKU-107,Organic Cotton Throw Blanket,Home,10,2024-03-02 00:00:00,45.0,CUST-1033,United Kingdom,450.0
INV-100015,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2023-08-09 00:00:00,49.99,CUST-1011,United Kingdom,49.99
INV-100016,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,2,2024-06-17 00:00:00,49.99,CUST-1226,United States,99.98
INV-100017,SKU-102,Ergonomic Office Chair,Furniture,1,2024-01-02 00:00:00,229.0,CUST-1445,United States,229.0
INV-100018,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2023-04-26 00:00:00,149.99,CUST-1499,United States,149.99
INV-100019,SKU-105,Smart Fitness Tracker Band,Wearables,1,2023-08-27 00:00:00,59.99,CUST-1080,Germany,59.99
INV-100020,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2023-12-01 00:00:00,149.99,CUST-1325,United States,149.99
INV-100021,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2024-03-16 00:00:00,149.99,CUST-1226,United States,149.99
INV-100022,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2023-05-28 00:00:00,149.99,CUST-1498,United Kingdom,149.99
INV-100023,SKU-106,USB-C Multiport Adapter,Accessories,1,2023-01-09 00:00:00,34.5,CUST-1453,Australia,34.5
INV-100024,SKU-109,Laptop Stand Aluminum,Accessories,2,2023-10-15 00:00:00,39.99,CUST-1450,United States,79.98
INV-100025,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2024-01-23 00:00:00,49.99,CUST-1261,United States,49.99
INV-100026,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2023-02-19 00:00:00,149.99,CUST-1242,United Kingdom,149.99
INV-100027,SKU-105,Smart Fitness Tracker Band,Wearables,1,2024-05-31 00:00:00,59.99,CUST-1154,Germany,59.99
INV-100028,SKU-109,Laptop Stand Aluminum,Accessories,1,2023-10-05 00:00:00,39.99,CUST-1034,United States,39.99
INV-100029,SKU-109,Laptop Stand Aluminum,Accessories,2,2023-10-27 00:00:00,39.99,CUST-1467,United States,79.98
INV-100030,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2023-05-15 00:00:00,149.99,CUST-1445,United States,149.99
INV-100031,SKU-108,Portable Espresso Maker,Kitchen,2,2023-05-27 00:00:00,79.99,CUST-1499,United States,159.98
INV-100032,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2024-05-04 00:00:00,149.99,CUST-1499,United Kingdom,149.99
INV-100033,SKU-108,Portable Espresso Maker,Kitchen,1,2024-04-22 00:00:00,79.99,CUST-1305,United States,79.99
INV-100034,SKU-101,Wireless Noise-Canceling Headphones,Audio,4,2023-06-08 00:00:00,149.99,CUST-1426,Canada,599.96
INV-100035,SKU-105,Smart Fitness Tracker Band,Wearables,2,2024-01-19 00:00:00,59.99,CUST-1484,United Kingdom,119.98
INV-100036,SKU-108,Portable Espresso Maker,Kitchen,1,2023-06-12 00:00:00,79.99,CUST-1462,United Kingdom,79.99
INV-100037,SKU-106,USB-C Multiport Adapter,Accessories,3,2024-03-16 00:00:00,34.5,CUST-1140,United States,103.5
INV-100038,SKU-109,Laptop Stand Aluminum,Accessories,1,2023-07-08 00:00:00,39.99,CUST-1250,United Kingdom,39.99
INV-100039,SKU-101,Wireless Noise-Canceling Headphones,Audio,3,2024-02-19 00:00:00,149.99,CUST-1069,United States,449.97
